0.0000	0.0345	1.0000	0.0666
0.0100	0.6519	0.9710	0.7801
0.0200	0.6792	0.9652	0.7973
0.0300	0.6953	0.9613	0.8069
0.0400	0.7079	0.9572	0.8139
0.0500	0.7191	0.9532	0.8198
0.0600	0.7294	0.9498	0.8251
0.0700	0.7394	0.9464	0.8302
0.0800	0.7494	0.9432	0.8352
0.0900	0.7579	0.9400	0.8392
0.1000	0.7664	0.9373	0.8433
0.1100	0.7734	0.9340	0.8461
0.1200	0.7794	0.9315	0.8487
0.1300	0.7854	0.9288	0.8511
0.1400	0.7914	0.9261	0.8535
0.1500	0.7967	0.9226	0.8550
0.1600	0.8012	0.9201	0.8565
0.1700	0.8067	0.9175	0.8585
0.1800	0.8115	0.9146	0.8600
0.1900	0.8164	0.9116	0.8614
0.2000	0.8209	0.9086	0.8625
0.2100	0.8252	0.9058	0.8636
0.2200	0.8297	0.9030	0.8648
0.2300	0.8341	0.9005	0.8661
0.2400	0.8386	0.8979	0.8673
0.2500	0.8428	0.8952	0.8682
0.2600	0.8473	0.8926	0.8694
0.2700	0.8515	0.8894	0.8700
0.2800	0.8556	0.8868	0.8710
0.2900	0.8592	0.8836	0.8712
0.3000	0.8631	0.8805	0.8717
0.3100	0.8666	0.8775	0.8720
0.3200	0.8698	0.8745	0.8722
0.3300	0.8729	0.8716	0.8722
0.3400	0.8757	0.8695	0.8726
0.3500	0.8786	0.8670	0.8727
0.3600	0.8812	0.8641	0.8726
0.3700	0.8836	0.8616	0.8724
0.3800	0.8859	0.8592	0.8723
0.3900	0.8881	0.8570	0.8723
0.4000	0.8908	0.8537	0.8718
0.4100	0.8925	0.8512	0.8713
0.4200	0.8948	0.8488	0.8712
0.4300	0.8971	0.8462	0.8709
0.4400	0.8991	0.8442	0.8708
0.4500	0.9014	0.8420	0.8706
0.4600	0.9031	0.8396	0.8702
0.4700	0.9050	0.8372	0.8698
0.4800	0.9068	0.8347	0.8692
0.4900	0.9092	0.8320	0.8689
0.5000	0.9115	0.8288	0.8682
0.5100	0.9134	0.8254	0.8672
0.5200	0.9148	0.8224	0.8662
0.5300	0.9165	0.8190	0.8650
0.5400	0.9180	0.8164	0.8642
0.5500	0.9195	0.8139	0.8635
0.5600	0.9206	0.8113	0.8625
0.5700	0.9220	0.8074	0.8609
0.5800	0.9238	0.8039	0.8597
0.5900	0.9248	0.8007	0.8583
0.6000	0.9258	0.7973	0.8568
0.6100	0.9274	0.7939	0.8555
0.6200	0.9282	0.7906	0.8539
0.6300	0.9294	0.7871	0.8524
0.6400	0.9301	0.7840	0.8508
0.6500	0.9311	0.7801	0.8489
0.6600	0.9324	0.7761	0.8471
0.6700	0.9334	0.7729	0.8456
0.6800	0.9341	0.7690	0.8436
0.6900	0.9358	0.7651	0.8419
0.7000	0.9369	0.7606	0.8396
0.7100	0.9385	0.7563	0.8376
0.7200	0.9396	0.7520	0.8354
0.7300	0.9407	0.7468	0.8326
0.7400	0.9423	0.7416	0.8300
0.7500	0.9437	0.7364	0.8272
0.7600	0.9449	0.7306	0.8240
0.7700	0.9462	0.7247	0.8208
0.7800	0.9474	0.7195	0.8179
0.7900	0.9489	0.7129	0.8141
0.8000	0.9501	0.7074	0.8110
0.8100	0.9522	0.7019	0.8081
0.8200	0.9538	0.6965	0.8051
0.8300	0.9546	0.6905	0.8014
0.8400	0.9563	0.6848	0.7981
0.8500	0.9572	0.6782	0.7939
0.8600	0.9584	0.6721	0.7901
0.8700	0.9600	0.6651	0.7858
0.8800	0.9612	0.6572	0.7807
0.8900	0.9624	0.6492	0.7754
0.9000	0.9641	0.6417	0.7705
0.9100	0.9654	0.6320	0.7639
0.9200	0.9673	0.6223	0.7573
0.9300	0.9687	0.6086	0.7475
0.9400	0.9699	0.5934	0.7363
0.9500	0.9714	0.5795	0.7259
0.9600	0.9727	0.5648	0.7146
0.9700	0.9741	0.5473	0.7009
0.9800	0.9761	0.5316	0.6883
0.9900	0.9790	0.5144	0.6744
